"","id_num","wave","StartDate","EndDate","duration","ResponseId","def","crime","terror","poor","health","econ","abort","unemploy","blkaid","adopt","imm","vaccines","guns","djt","interest","friends_1","friends_2","friends_3","friends_4","friends_5","tense","death","ewry","values","ideo","partyid","votereport","gender","ethnic","edu","inc","age","state","relig","voting","climate","check","beh_att_1","beh_att_2","beh_att_3","beh_identity","virusthreat","quarantine","sickleave","fourth","id","voting_string","voting_factor"
"1",1,1,2019-05-08 16:22:57,2019-05-08 16:25:47,169,"R_3J8BA6SRQABpv0m",3,4,2,7,7,4,4,6,5,7,4,1,2,4,3,6,3,7,2,6,6,6,7,5,2,1,2,1,3,9,4,32,39,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_3J8BA6SRQABpv0m","clinton","Clinton"
"2",2,1,2019-05-08 16:23:02,2019-05-08 16:25:26,143,"R_2cc1lnLBTLlNGTO",1,3,2,7,4,4,4,4,7,7,3,1,2,4,3,6,6,6,6,6,2,2,5,4,1,1,2,2,3,8,5,43,14,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_2cc1lnLBTLlNGTO","clinton","Clinton"
"3",3,1,2019-05-08 16:26:05,2019-05-08 16:31:34,329,"R_1gSVfTIIHe2aF09",4,7,4,7,6,7,4,3,4,1,4,1,3,1,7,7,7,7,7,7,1,2,6,6,5,6,1,1,34,8,2,35,23,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_1gSVfTIIHe2aF09","trump","Trump"
"4",4,1,2019-05-08 16:28:10,2019-05-08 16:31:37,206,"R_yDxVBXLpG892Xgl",3,3,3,6,3,5,2,5,5,2,7,1,4,2,7,7,7,7,7,7,1,3,5,7,6,6,1,2,3,5,4,56,19,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_yDxVBXLpG892Xgl","trump","Trump"
"5",5,1,2019-05-08 16:28:20,2019-05-08 16:32:41,261,"R_1Nk1O1By831f1ie",1,3,3,6,6,4,2,4,5,7,2,1,1,4,5,6,2,5,2,6,6,3,7,6,2,2,2,2,3,9,4,30,36,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_1Nk1O1By831f1ie","clinton","Clinton"
"6",6,1,2019-05-08 16:29:19,2019-05-08 16:33:17,238,"R_3siX0x52o60OMa4",1,1,1,7,7,5,4,4,7,7,1,7,1,4,7,6,3,5,2,2,1,5,7,4,2,3,4,1,3,4,5,25,10,9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_3siX0x52o60OMa4","other","Other"
"7",7,1,2019-05-08 16:33:21,2019-05-08 16:37:45,264,"R_2zMXIUGon30Qgnk",1,2,2,7,6,4,4,6,7,7,5,2,1,4,7,7,5,6,4,6,5,2,5,6,1,2,2,1,3,8,5,34,20,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_2zMXIUGon30Qgnk","clinton","Clinton"
"8",8,1,2019-05-08 16:34:40,2019-05-08 16:38:08,207,"R_2cbwGQ3vwi4tT29",2,4,3,5,5,6,5,5,5,7,3,1,2,3,5,6,7,7,7,7,4,6,5,4,4,3,2,2,3,9,5,33,32,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_2cbwGQ3vwi4tT29","clinton","Clinton"
"9",9,1,2019-05-08 16:34:42,2019-05-08 16:38:35,233,"R_BYwnuspKh75unpT",5,6,6,2,4,4,3,3,5,7,6,1,4,2,7,5,7,7,7,5,2,1,3,5,6,5,4,2,7,8,6,33,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_BYwnuspKh75unpT","trump","Trump"
"10",10,1,2019-05-08 16:36:40,2019-05-08 16:40:45,244,"R_3R2wNLQYNwtPb8Y",7,7,7,7,7,7,1,7,4,4,7,4,2,2,5,7,7,7,7,7,4,5,7,7,4,5,1,2,3,7,3,31,1,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_3R2wNLQYNwtPb8Y","trump","Trump"
"11",11,1,2019-05-08 16:36:54,2019-05-08 16:40:35,220,"R_2uJWTR54ZHuDKDu",1,NA,3,7,7,6,2,6,3,NA,5,NA,2,2,6,5,5,5,5,5,2,3,5,6,4,4,1,2,8,8,3,30,14,12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_2uJWTR54ZHuDKDu","other","Other"
"12",12,1,2019-05-08 16:37:46,2019-05-08 16:40:25,159,"R_3nU8PzRELwFlgBj",5,4,5,4,6,3,4,4,4,7,5,1,3,4,7,6,5,7,5,7,4,4,5,5,3,1,2,2,3,8,5,29,9,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_3nU8PzRELwFlgBj","clinton","Clinton"
"13",13,1,2019-05-08 16:39:13,2019-05-08 16:47:44,510,"R_3PNahG6gckXuFOy",6,6,6,5,3,5,4,5,4,2,6,1,5,1,6,4,7,6,7,5,2,1,6,7,7,7,1,1,3,11,5,44,49,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_3PNahG6gckXuFOy","trump","Trump"
"14",14,1,2019-05-08 16:39:40,2019-05-08 16:44:53,312,"R_11cIRF8hmAk1g9d",3,4,3,5,6,4,4,5,5,7,3,1,2,4,5,5,4,6,5,5,4,5,5,5,3,4,2,2,3,8,6,33,48,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R_11cIRF8hmAk1g9d","clinton","Clinton"
